"gene","chr","pos","class","effect","pheno","odds ratio (CI)","logistic regression"
"CNAG_06574",7,167292,"ab","upstream","MIP1b","0.3 (0.11,0.82) ","est = -1.19, error = 0.51, z = -2.35, p = 0.019"
"CNAG_06574",7,167292,"ab","upstream","uptake",NA,"est = -3.5, error = 1.58, z = -2.22, p = 0.027"
"CNAG_06574",7,167370,"ab","upstream","cd4","1.09 (1.01,1.18) ","est = 0.09, error = 0.04, z = 2.23, p = 0.026"
"CNAG_06574",7,167370,"ab","upstream","uptake",NA,"est = -4.03, error = 1.67, z = -2.42, p = 0.016"
"CNAG_06704",2,270700,"a","upstream","IL2","1.45 (1.01,2.09) ","est = 0.37, error = 0.18, z = 2.03, p = 0.042"
"CNAG_06704",2,270700,"a","upstream","protein","0.9998 (0.9996,1) ","est = 0, error = 0, z = -2.2, p = 0.028"
"CNAG_06876",5,7093,"a","UTR-3","IFNg","0.53 (0.29,0.96) ","est = -0.64, error = 0.3, z = -2.11, p = 0.035"
"CNAG_06876",5,7093,"a","UTR-3","MIP1b","0.44 (0.21,0.95) ","est = -0.81, error = 0.39, z = -2.08, p = 0.037"
"CNAG_06876",5,7093,"a","UTR-3","TNFa","0.47 (0.24,0.93) ","est = -0.75, error = 0.35, z = -2.16, p = 0.031"
"CNAG_06968",8,1383765,"a","CODON_INSERTION","IL12","0.56 (0.32,0.97) ","est = -0.58, error = 0.28, z = -2.07, p = 0.038"
"CNAG_06968",8,1383765,"a","CODON_INSERTION","IL17","0.45 (0.21,0.97) ","est = -0.8, error = 0.39, z = -2.05, p = 0.041"
"CNAG_07026",12,11092,"ab","upstream","IL1b","2.34 (1.04,5.26) ","est = 0.85, error = 0.41, z = 2.06, p = 0.039"
"CNAG_07026",12,11092,"ab","upstream","IL13","1.34 (1.01,1.77) ","est = 0.29, error = 0.14, z = 2.01, p = 0.045"
"CNAG_07026",12,11092,"ab","upstream","Survival","1.0083 (1.0013,1.0153) ","est = 0.01, error = 0, z = 2.32, p = 0.02"
"CNAG_07026",12,11092,"ab","upstream","efa","0 (0,0.2) ","est = -27.82, error = 13.37, z = -2.08, p = 0.037"
"CNAG_07026",12,11094,"ab","upstream","IL13","1.4 (1.02,1.93) ","est = 0.34, error = 0.16, z = 2.06, p = 0.04"
"CNAG_07026",12,11094,"ab","upstream","LFA_Titer","0.43 (0.19,0.99) ","est = -0.84, error = 0.42, z = -1.99, p = 0.047"
"CNAG_07026",12,11094,"ab","upstream","Survival","1.0075 (1.0001,1.0149) ","est = 0.01, error = 0, z = 2, p = 0.046"
"CNAG_07026",12,11400,"ab","upstream","IL1b","0.37 (0.15,0.93) ","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11400,"ab","upstream","IL7","0.27 (0.07,0.98) ","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11400,"ab","upstream","IL13","0.71 (0.51,1) ","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11400,"ab","upstream","LFA_Titer","3.91 (1.23,12.37) ","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11406,"ab","upstream","IL1b","0.37 (0.15,0.93) ","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11406,"ab","upstream","IL7","0.27 (0.07,0.98) ","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11406,"ab","upstream","IL13","0.71 (0.51,1) ","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11406,"ab","upstream","LFA_Titer","3.91 (1.23,12.37) ","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11407,"ab","upstream","IL1b","0.37 (0.15,0.93) ","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11407,"ab","upstream","IL7","0.27 (0.07,0.98) ","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11407,"ab","upstream","IL13","0.71 (0.51,1) ","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11407,"ab","upstream","LFA_Titer","3.91 (1.23,12.37) ","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11410,"ab","upstream","IL1b","0.37 (0.15,0.93) ","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11410,"ab","upstream","IL7","0.27 (0.07,0.98) ","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11410,"ab","upstream","IL13","0.71 (0.51,1) ","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11410,"ab","upstream","LFA_Titer","3.91 (1.23,12.37) ","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11413,"ab","upstream","IL1b","0.38 (0.15,0.95) ","est = -0.98, error = 0.47, z = -2.08, p = 0.038"
"CNAG_07026",12,11413,"ab","upstream","LFA_Titer","3.91 (1.23,12.37) ","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07703",7,1341024,"a","ns","IL6","0.63 (0.43,0.91) ","est = -0.47, error = 0.19, z = -2.42, p = 0.015"
"CNAG_07703",7,1341024,"a","ns","IL8","0.48 (0.24,0.94) ","est = -0.74, error = 0.34, z = -2.15, p = 0.032"
"CNAG_07837",10,13558,"b","UTR-5","IL2","1.5 (1.02,2.19) ","est = 0.4, error = 0.19, z = 2.06, p = 0.039"
"CNAG_07837",10,15302,"b","UTR-3","cd4","0.83 (0.68,1) ","est = -0.19, error = 0.1, z = -1.96, p = 0.049"
"CNAG_07950",1,975397,"b","upstream","efa","0 (0,0.01) ","est = -31.27, error = 13.51, z = -2.32, p = 0.021"
"CNAG_07950",1,975152,"ab","upstream","IL8","2.67 (1.12,6.34) ","est = 0.98, error = 0.44, z = 2.23, p = 0.026"
"CNAG_07950",1,975152,"ab","upstream","hivrna","1 (1,1) ","est = 0, error = 0, z = 1.98, p = 0.048"
"CNAG_07950",1,975212,"ab","upstream","IL4","0.45 (0.23,0.92) ","est = -0.79, error = 0.36, z = -2.21, p = 0.027"
"CNAG_07950",1,975212,"ab","upstream","IL6","0.65 (0.47,0.91) ","est = -0.43, error = 0.17, z = -2.48, p = 0.013"
"CNAG_07950",1,975212,"ab","upstream","IL8","0.32 (0.14,0.75) ","est = -1.13, error = 0.43, z = -2.62, p = 0.009"
"CNAG_07950",1,975212,"ab","upstream","GMCSF","0.4 (0.17,0.92) ","est = -0.92, error = 0.42, z = -2.17, p = 0.03"
"CNAG_07950",1,975212,"ab","upstream","IFNg","0.51 (0.28,0.93) ","est = -0.67, error = 0.31, z = -2.18, p = 0.029"
"CNAG_07950",1,975212,"ab","upstream","FLC",NA,"est = -0.06, error = 0.03, z = -2.11, p = 0.034"
"CNAG_08006",11,804710,"ab","UTR-5","IL4","0.41 (0.18,0.94) ","est = -0.89, error = 0.42, z = -2.11, p = 0.035"
"CNAG_08006",11,804710,"ab","UTR-5","IL5","0.32 (0.13,0.84) ","est = -1.13, error = 0.48, z = -2.33, p = 0.02"
"CNAG_08006",11,804710,"ab","UTR-5","IL6","0.71 (0.51,0.99) ","est = -0.34, error = 0.17, z = -2.02, p = 0.043"
"CNAG_08006",11,804710,"ab","UTR-5","MIP1b","0.39 (0.16,0.97) ","est = -0.93, error = 0.46, z = -2.04, p = 0.042"
"CNAG_08006",11,804710,"ab","UTR-5","TNFa","0.34 (0.14,0.84) ","est = -1.07, error = 0.46, z = -2.35, p = 0.019"
"CNAG_08006",11,804710,"ab","UTR-5","adherence",NA,"est = -4.63, error = 2.32, z = -1.99, p = 0.046"
"CNAG_08006",11,804710,"ab","UTR-5","chitin",NA,"est = 0, error = 0, z = -1.99, p = 0.047"
"CNAG_08006",11,804742,"ab","UTR-5","IL4","0.49 (0.25,0.96) ","est = -0.72, error = 0.34, z = -2.08, p = 0.038"
"CNAG_08006",11,804742,"ab","UTR-5","IFNg","0.6 (0.37,0.97) ","est = -0.51, error = 0.25, z = -2.09, p = 0.036"
"CNAG_08006",11,804742,"ab","UTR-5","MCP1","0.57 (0.34,0.95) ","est = -0.56, error = 0.26, z = -2.16, p = 0.031"
"CNAG_08006",11,804742,"ab","UTR-5","adherence",NA,"est = -6.75, error = 2.65, z = -2.54, p = 0.011"
"CNAG_12610",7,49744,"a","upstream","MCP1","0.65 (0.43,0.98) ","est = -0.43, error = 0.21, z = -2.06, p = 0.039"
"CNAG_12610",7,49744,"a","upstream","uptake",NA,"est = -3.86, error = 1.77, z = -2.19, p = 0.029"
"CNAG_13108",13,128625,"ab","upstream","IL13","0.74 (0.55,1) ","est = -0.3, error = 0.15, z = -1.97, p = 0.049"
"CNAG_13108",13,128625,"ab","upstream","GCSF","8.41 (1.28,55.01) ","est = 2.13, error = 0.96, z = 2.22, p = 0.026"
"CNAG_13108",13,128715,"ab","upstream","IL13","0.59 (0.39,0.89) ","est = -0.53, error = 0.21, z = -2.55, p = 0.011"
"CNAG_13108",13,128715,"ab","upstream","GCSF","8.04 (1.29,50.02) ","est = 2.08, error = 0.93, z = 2.23, p = 0.025"
"CNAG_13108",13,128729,"ab","upstream","IL13","0.65 (0.43,0.96) ","est = -0.44, error = 0.2, z = -2.16, p = 0.031"
"CNAG_13108",13,128729,"ab","upstream","GCSF","6.7 (1.06,42.24) ","est = 1.9, error = 0.94, z = 2.02, p = 0.043"
"CNAG_13204",14,924025,"b","upstream","GMCSF","3.18 (1.22,8.29) ","est = 1.16, error = 0.49, z = 2.37, p = 0.018"
"CNAG_13204",14,924047,"b","upstream","IL13","1.41 (1.06,1.86) ","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
"CNAG_13204",14,924049,"b","upstream","IL13","1.41 (1.06,1.86) ","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
"CNAG_13204",14,924050,"b","upstream","IL13","1.41 (1.06,1.86) ","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
