"gene","chr","pos","class","effect","pheno","logistic regression"
"CNAG_04179",9,220963,"a","upstream","efa","est = 39.6, error = 18.53, z = 2.14, p = 0.033"
"CNAG_04179",9,220963,"a","upstream","SERT","est = -0.4, error = 0.2, z = -1.96, p = 0.05"
"CNAG_08006",11,804710,"ab","UTR-5","IL4","est = -0.89, error = 0.42, z = -2.11, p = 0.035"
"CNAG_08006",11,804710,"ab","UTR-5","IL5","est = -1.13, error = 0.48, z = -2.33, p = 0.02"
"CNAG_08006",11,804710,"ab","UTR-5","IL6","est = -0.34, error = 0.17, z = -2.02, p = 0.043"
"CNAG_08006",11,804710,"ab","UTR-5","MIP1b","est = -0.93, error = 0.46, z = -2.04, p = 0.042"
"CNAG_08006",11,804710,"ab","UTR-5","TNFa","est = -1.07, error = 0.46, z = -2.35, p = 0.019"
"CNAG_08006",11,804710,"ab","UTR-5","adherence","est = -4.63, error = 2.32, z = -1.99, p = 0.046"
"CNAG_08006",11,804710,"ab","UTR-5","chitin","est = 0, error = 0, z = -1.99, p = 0.047"
"CNAG_08006",11,804742,"ab","UTR-5","IL4","est = -0.72, error = 0.34, z = -2.08, p = 0.038"
"CNAG_08006",11,804742,"ab","UTR-5","IFNg","est = -0.51, error = 0.25, z = -2.09, p = 0.036"
"CNAG_08006",11,804742,"ab","UTR-5","MCP1","est = -0.56, error = 0.26, z = -2.16, p = 0.031"
"CNAG_08006",11,804742,"ab","UTR-5","adherence","est = -6.75, error = 2.65, z = -2.54, p = 0.011"
"CNAG_07026",12,11092,"ab","upstream","IL1b","est = 0.85, error = 0.41, z = 2.06, p = 0.039"
"CNAG_07026",12,11092,"ab","upstream","IL13","est = 0.29, error = 0.14, z = 2.01, p = 0.045"
"CNAG_07026",12,11092,"ab","upstream","Survival","est = 0.01, error = 0, z = 2.32, p = 0.02"
"CNAG_07026",12,11092,"ab","upstream","efa","est = -27.82, error = 13.37, z = -2.08, p = 0.037"
"CNAG_07026",12,11094,"ab","upstream","IL13","est = 0.34, error = 0.16, z = 2.06, p = 0.04"
"CNAG_07026",12,11094,"ab","upstream","LFA_Titer","est = -0.84, error = 0.42, z = -1.99, p = 0.047"
"CNAG_07026",12,11094,"ab","upstream","Survival","est = 0.01, error = 0, z = 2, p = 0.046"
"CNAG_07026",12,11400,"ab","upstream","IL1b","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11400,"ab","upstream","IL7","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11400,"ab","upstream","IL13","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11400,"ab","upstream","LFA_Titer","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11406,"ab","upstream","IL1b","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11406,"ab","upstream","IL7","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11406,"ab","upstream","IL13","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11406,"ab","upstream","LFA_Titer","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11407,"ab","upstream","IL1b","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11407,"ab","upstream","IL7","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11407,"ab","upstream","IL13","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11407,"ab","upstream","LFA_Titer","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11410,"ab","upstream","IL1b","est = -1, error = 0.47, z = -2.12, p = 0.034"
"CNAG_07026",12,11410,"ab","upstream","IL7","est = -1.32, error = 0.67, z = -1.99, p = 0.047"
"CNAG_07026",12,11410,"ab","upstream","IL13","est = -0.34, error = 0.17, z = -1.96, p = 0.05"
"CNAG_07026",12,11410,"ab","upstream","LFA_Titer","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_07026",12,11413,"ab","upstream","IL1b","est = -0.98, error = 0.47, z = -2.08, p = 0.038"
"CNAG_07026",12,11413,"ab","upstream","LFA_Titer","est = 1.36, error = 0.59, z = 2.32, p = 0.021"
"CNAG_13108",13,128625,"ab","upstream","IL13","est = -0.3, error = 0.15, z = -1.97, p = 0.049"
"CNAG_13108",13,128625,"ab","upstream","GCSF","est = 2.13, error = 0.96, z = 2.22, p = 0.026"
"CNAG_13108",13,128715,"ab","upstream","IL13","est = -0.53, error = 0.21, z = -2.55, p = 0.011"
"CNAG_13108",13,128715,"ab","upstream","GCSF","est = 2.08, error = 0.93, z = 2.23, p = 0.025"
"CNAG_13108",13,128729,"ab","upstream","IL13","est = -0.44, error = 0.2, z = -2.16, p = 0.031"
"CNAG_13108",13,128729,"ab","upstream","GCSF","est = 1.9, error = 0.94, z = 2.02, p = 0.043"
"CNAG_06525",7,11056,"ab","ns","IL5","est = 0.79, error = 0.36, z = 2.19, p = 0.028"
"CNAG_06525",7,11056,"ab","ns","IL10","est = 0.99, error = 0.46, z = 2.16, p = 0.031"
"CNAG_06525",7,14006,"ab","upstream","IL6","est = -0.36, error = 0.18, z = -2.03, p = 0.043"
"CNAG_06525",7,14006,"ab","upstream","IL8","est = -0.71, error = 0.35, z = -2.04, p = 0.041"
"CNAG_05913",7,1205599,"ab","upstream","MIP1b","est = 0.82, error = 0.4, z = 2.07, p = 0.039"
"CNAG_05913",7,1205599,"ab","upstream","adherence","est = 4.49, error = 2, z = 2.25, p = 0.025"
"CNAG_05913",7,1205600,"ab","upstream","IL13","est = 0.26, error = 0.13, z = 1.98, p = 0.048"
"CNAG_05913",7,1205600,"ab","upstream","IL17","est = 0.86, error = 0.43, z = 2.01, p = 0.044"
"CNAG_05913",7,1205600,"ab","upstream","MIP1b","est = 0.83, error = 0.4, z = 2.08, p = 0.038"
"CNAG_05913",7,1205600,"ab","upstream","adherence","est = 4.46, error = 2, z = 2.23, p = 0.026"
