"name","chrom","chromStart","chromEnd","length","alias","description","freq.gene","freq.up","freq.syn","total"
"CNAG_02121","chr6","1138097","1140589","2492","null","hypothetical protein CNAG_02121","0","0","1",1
"CNAG_02122","chr6","1136239","1137759","1520","null","cytoplasmic tRNA 2-thiolation protein 1","1","0","0",1
"CNAG_02123","chr6","1134460","1135883","1423","null","methionyl-tRNA formyltransferase","1","0","0",1
"CNAG_02130","chr6","1117336","1119601","2265","NSR1","RNA-binding protein 39","0","1","0",1
"CNAG_02138","chr6","1096639","1101563","4924","null","DNA replication ATP-dependent helicase Dna2","0","1","2",3
"CNAG_02139","chr6","1093211","1095369","2158","null","oxysterol-binding protein","0","1","0",1
"CNAG_02144","chr6","1084033","1084871","838","null","large subunit ribosomal protein L1-A","0","1","0",1
"CNAG_02148","chr6","1078083","1078972","889","null","ubiquitin-conjugating enzyme E2 35","0","1","0",1
"CNAG_02150","chr6","1075494","1077201","1707","null","mRNA methyltransferase","0","3","0",3
"CNAG_02151","chr6","1071894","1075109","3215","null","amidohydrolase","1","0","0",1
"CNAG_02152","chr6","1070021","1071730","1709","null","hypothetical protein CNAG_02152","1","0","0",1
"CNAG_02157","chr6","1056521","1058534","2013","null","hypothetical protein CNAG_02157","0","1","0",1
"CNAG_02159","chr6","1049803","1050555","752","null","hypothetical protein CNAG_02159","1","0","0",1
"CNAG_02161","chr6","1041966","1046131","4165","null","cortical actin cytoskeleton protein asp1","0","1","0",1
"CNAG_02164","chr6","1034846","1038644","3798","null","hypothetical protein CNAG_02164","2","0","1",3
"CNAG_02165","chr6","1031181","1034260","3079","null","cytoplasmic protein","2","0","0",2
"CNAG_02167","chr6","1021153","1023643","2490","null","vacuolar protein sorting-associated protein 27","0","1","0",1
"CNAG_02169","chr6","1013219","1014715","1496","null","hypothetical protein CNAG_02169","0","0","1",1
"CNAG_02172","chr6","1001107","1007049","5942","null","ubiquitin-protein ligase","0","1","0",1
"CNAG_02174","chr6","997358","999617","2259","null","signal recognition particle protein SRP54","1","0","0",1
"CNAG_02175","chr6","991751","997012","5261","null","5\'-3\' exoribonuclease 1","0","1","1",2
"CNAG_02188","chr6","955708","956577","869","null","hypothetical protein CNAG_02188","0","1","0",1
"CNAG_02194","chr6","942579","945166","2587","null","AGC/NDR protein kinase","0","0","1",1
"CNAG_02196","chr6","937189","938733","1544","CDC11","septin","1","0","0",1
"CNAG_02202","chr6","928799","929659","860","null","adenylylsulfate kinase","0","2","0",2
"CNAG_02204","chr6","923322","924739","1417","null","endonuclease G, mitochondrial","1","1","0",2
"CNAG_02206","chr6","921006","921355","349","null","hypothetical protein CNAG_02206","0","1","0",1
"CNAG_02210","chr6","909059","911304","2245","null","ribonuclease Z","0","1","0",1
"CNAG_02213","chr6","902038","903949","1911","null","epsin","1","0","0",1
"CNAG_02216","chr6","893411","899411","6000","null","hypothetical protein CNAG_02216","1","0","0",1
"CNAG_02220","chr6","876475","879689","3214","null","hypothetical protein CNAG_02220","0","1","0",1
"CNAG_02228","chr6","857468","858291","823","null","hypothetical protein CNAG_02228","0","0","1",1
"CNAG_02231","chr6","846395","847564","1169","null","cytosolic Fe-S cluster assembly factor NBP35","1","0","0",1
"CNAG_02233","chr6","836740","844476","7736","null","serine/threonine-protein kinase ATR","0","0","1",1
"CNAG_02237","chr6","828703","832439","3736","SLA2","cytoskeleton assembly control protein","0","2","0",2
"CNAG_02240","chr6","821972","825033","3061","null","cytoplasmic protein","0","2","0",2
"CNAG_02255","chr6","775676","776970","1294","null","BNR/Asp-box repeat family protein","1","0","0",1
"CNAG_02260","chr6","763961","765531","1570","CRG1","protein FAM50","0","0","1",1
"CNAG_02267","chr6","738936","740522","1586","null","cell cycle arrest protein BUB3","1","0","0",1
"CNAG_02268","chr6","737252","738786","1534","null","nuclear membrane protein","0","1","1",2
"CNAG_02269","chr6","735423","737087","1664","null","autophagy-like protein 18 Atg18","0","2","0",2
"CNAG_02285","chr6","700547","701486","939","null","nucleoside diphosphate kinase","0","1","0",1
"CNAG_02290","chr6","687540","689245","1705","null","parafibromin","0","1","0",1
"CNAG_02311","chr6","640609","642749","2140","null","hypothetical protein CNAG_02311","1","0","0",1
"CNAG_02328","chr6","597696","600656","2960","null","pre-rRNA-processing protein TSR1","1","0","0",1
"CNAG_02332","chr6","588707","590100","1393","null","hypothetical protein CNAG_02332","1","0","0",1
"CNAG_02335","chr6","579635","581798","2163","null","hypothetical protein CNAG_02335","0","1","0",1
"CNAG_02339","chr6","570155","571309","1154","null","hypothetical protein CNAG_02339","0","0","1",1
"CNAG_02340","chr6","569067","569772","705","null","hypothetical protein CNAG_02340","1","1","0",2
"CNAG_02342","chr6","562464","563854","1390","null","hypothetical protein CNAG_02342","0","1","0",1
"CNAG_02343","chr6","559422","561981","2559","null","hypothetical protein CNAG_02343","0","1","0",1
"CNAG_02347","chr6","553316","553930","614","null","hypothetical protein CNAG_02347","0","1","0",1
"CNAG_02350","chr6","546702","547637","935","null","hypothetical protein CNAG_02350","1","0","0",1
"CNAG_02355","chr6","529165","531035","1870","null","solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4","1","0","1",2
"CNAG_02356","chr6","527902","528877","975","null","phosphatidylinositol glycan, class F","0","0","1",1
"CNAG_02358","chr6","523602","525037","1435","null","MRP family ATP-binding protein","0","0","1",1
"CNAG_02359","chr6","522865","523486","621","null","small subunit ribosomal protein S25e","0","3","0",3
"CNAG_02360","chr6","521383","522304","921","null","hypothetical protein CNAG_02360","0","1","0",1
"CNAG_02363","chr6","512630","514606","1976","null","SCR1 protein","0","1","0",1
"CNAG_02364","chr6","510958","512315","1357","null","hypothetical protein CNAG_02364","1","0","0",1
"CNAG_02366","chr6","505479","507426","1947","null","4-aminobutyrate aminotransferase","1","0","0",1
"CNAG_02368","chr6","501233","503505","2272","null","hypothetical protein CNAG_02368","0","3","0",3
"CNAG_02371","chr6","492915","494179","1264","null","coiled-coil domain-containing protein 130","1","1","0",2
"CNAG_02373","chr6","488230","490771","2541","null","ATP-binding protein","2","3","4",9
"CNAG_02374","chr6","485289","488190","2901","null","hypothetical protein CNAG_02374","0","0","2",2
"CNAG_02375","chr6","481191","484674","3483","null","polyphosphoinositide phosphatase","0","2","2",4
"CNAG_02376","chr6","479717","480995","1278","null","hypothetical protein CNAG_02376","0","1","0",1
"CNAG_02378","chr6","476459","477292","833","null","H/ACA ribonucleoprotein complex subunit 2","0","1","0",1
"CNAG_02381","chr6","470982","472579","1597","null","hypothetical protein CNAG_02381","1","0","0",1
"CNAG_02383","chr6","468156","469590","1434","null","trimethylguanosine synthase","0","1","1",2
"CNAG_02388","chr6","459756","460896","1140","null","hypothetical protein CNAG_02388","0","1","0",1
"CNAG_02392","chr6","449250","450070","820","null","hypothetical protein CNAG_02392","0","1","0",1
"CNAG_02395","chr6","437194","439715","2521","null","ubiquitin carboxyl-terminal hydrolase 9/13","0","1","0",1
"CNAG_02396","chr6","435003","436506","1503","null","hypothetical protein CNAG_02396","1","0","0",1
"CNAG_02401","chr6","418974","421895","2921","null","G patch domain-containing protein 1","1","1","0",2
"CNAG_02406","chr6","404527","406934","2407","null","cell division control protein 45","1","0","1",2
"CNAG_02407","chr6","400029","404250","4221","null","phospholipase D","0","0","1",1
"CNAG_02409","chr6","396438","397913","1475","LIV5","hypothetical protein CNAG_02409","1","2","0",3
"CNAG_02415","chr6","380495","382236","1741","null","annexin XIV","0","1","0",1
"CNAG_02418","chr6","373890","375993","2103","null","asparagine-tRNA ligase","1","1","1",3
"CNAG_02419","chr6","371109","373752","2643","null","hypothetical protein CNAG_02419","1","0","1",2
"CNAG_02423","chr6","364246","365785","1539","null","hypothetical protein CNAG_02423","1","0","0",1
"CNAG_02424","chr6","361099","363921","2822","null","hypothetical protein CNAG_02424","0","0","1",1
"CNAG_02428","chr6","351815","354599","2784","null","GC-rich sequence DNA-binding factor","1","0","0",1
"CNAG_02430","chr6","344225","349995","5770","null","ABC transporter ABCC.6","0","2","0",2
"CNAG_02432","chr6","338758","341884","3126","null","hypothetical protein CNAG_02432","1","0","0",1
"CNAG_02433","chr6","336764","337917","1153","null","thiol oxidase","1","0","0",1
"CNAG_02437","chr6","326214","331017","4803","null","rRNA biogenesis protein RRP5","2","0","0",2
"CNAG_02439","chr6","320827","321804","977","null","hypothetical protein CNAG_02439","0","1","0",1
"CNAG_02443","chr6","312979","313476","497","null","NADH dehydrogenase","0","1","0",1
"CNAG_02446","chr6","307664","308554","890","null","response regulator receiver protein","1","0","0",1
"CNAG_02449","chr6","302003","304647","2644","null","long-chain fatty acid CoA ligase","2","0","0",2
"CNAG_02452","chr6","296080","297253","1173","null","hypothetical protein CNAG_02452","1","0","0",1
"CNAG_02454","chr6","287045","289269","2224","null","H/ACA ribonucleoprotein complex non-core subunit NAF1","0","0","1",1
"CNAG_02455","chr6","284161","286304","2143","null","choline transporter","0","2","0",2
"CNAG_02463","chr6","257762","259283","1521","null","hypothetical protein CNAG_02463","0","2","0",2
"CNAG_02464","chr6","252409","257109","4700","null","5-oxoprolinase (ATP-hydrolysing)","0","0","2",2
"CNAG_02465","chr6","249286","251415","2129","null","allantoate permease","1","0","0",1
"CNAG_02466","chr6","245462","248249","2787","null","hypothetical protein CNAG_02466","0","1","0",1
"CNAG_02467","chr6","241356","245284","3928","null","DNA repair/transcription protein MET18/MMS19","1","1","0",2
"CNAG_02468","chr6","237920","241147","3227","null","AP-3 complex subunit delta-1","0","0","1",1
"CNAG_02470","chr6","230999","232844","1845","null","phosphoric monoester hydrolase","0","1","0",1
"CNAG_02472","chr6","226624","228567","1943","null","endosomal P24A protein","0","0","1",1
"CNAG_02475","chr6","218037","220112","2075","null","flavin-containing monooxygenase","0","1","0",1
"CNAG_02476","chr6","213646","217692","4046","YRM101","hypothetical protein CNAG_02476","1","0","1",2
"CNAG_02479","chr6","206610","209018","2408","null","monosaccharide transporter","0","1","0",1
"CNAG_02480","chr6","203319","205522","2203","null","cell cycle checkpoint control protein RAD9A","0","0","1",1
"CNAG_02483","chr6","196925","198402","1477","null","hypothetical protein CNAG_02483","3","0","1",4
"CNAG_02485","chr6","190100","191393","1293","null","ATP synthase F1, gamma subunit","0","1","0",1
"CNAG_02486","chr6","188521","189770","1249","null","translation initiation factor 2 subunit 2","0","2","0",2
"CNAG_02487","chr6","187201","188372","1171","null","3-hydroxy acyl-CoA dehydratase","0","2","0",2
"CNAG_02488","chr6","183631","186787","3156","null","methionyl-tRNA formyltransferase","1","0","5",6
"CNAG_02489","chr6","178139","179391","1252","null","alcohol dehydrogenase, propanol-preferring","0","1","0",1
"CNAG_02497","chr6","157989","159923","1934","null","thaumatin family protein","1","1","0",2
"CNAG_02498","chr6","153058","157357","4299","null","hypothetical protein CNAG_02498","1","1","0",2
"CNAG_02504","chr6","142631","143872","1241","null","hypothetical protein CNAG_02504","1","0","1",2
"CNAG_02505","chr6","140236","142235","1999","null","cardiolipin-specific phospholipase","1","1","0",2
"CNAG_02506","chr6","138743","139701","958","null","3,4-dihydroxy-2-butanone-4-phosphate synthase","1","0","0",1
"CNAG_02507","chr6","136977","138342","1365","null","translation initiation factor 3 subunit H","0","3","1",4
"CNAG_02508","chr6","135751","136694","943","null","hypothetical protein CNAG_02508","0","2","0",2
"CNAG_02509","chr6","133790","135331","1541","null","hypothetical protein CNAG_02509","2","0","1",3
"CNAG_02510","chr6","131056","132984","1928","null","hypothetical protein CNAG_02510","1","1","0",2
"CNAG_02512","chr6","121394","125423","4029","null","DNA repair protein RAD16","0","0","1",1
"CNAG_02516","chr6","113130","115353","2223","null","hypothetical protein CNAG_02516","1","0","0",1
"CNAG_02520","chr6","104604","106188","1584","null","DNA-directed RNA polymerase III subunit RPC4","0","1","0",1
"CNAG_02522","chr6","101444","102809","1365","MRS3/4","solute carrier family 25 (mitochondrial iron transporter), member 28/37","0","0","1",1
"CNAG_02523","chr6","95780","100320","4540","null","hypothetical protein CNAG_02523","1","1","1",3
"CNAG_02525","chr6","87188","90889","3701","null","hypothetical protein CNAG_02525","1","2","1",4
"CNAG_02526","chr6","85040","85943","903","null","hypothetical protein CNAG_02526","0","4","1",5
"CNAG_02527","chr6","78964","81426","2462","null","multidrug transporter","0","1","0",1
"CNAG_02528","chr6","75281","78208","2927","null","hypothetical protein CNAG_02528","0","0","2",2
"CNAG_02530","chr6","71519","74200","2681","null","hypothetical protein CNAG_02530","1","0","0",1
"CNAG_02531","chr6","68671","70815","2144","CPK1","CMGC/MAPK protein kinase","0","1","0",1
"CNAG_02533","chr6","62964","64578","1614","null","hypothetical protein CNAG_02533","1","2","1",4
"CNAG_02534","chr6","61282","62497","1215","null","tRNA 2\'-phosphotransferase","0","0","1",1
"CNAG_02535","chr6","60162","61167","1005","null","hypothetical protein CNAG_02535","0","3","1",4
"CNAG_02536","chr6","58257","60018","1761","TAF6","transcription initiation factor TFIID subunit 6","2","0","1",3
"CNAG_02538","chr6","55387","56566","1179","null","hypothetical protein CNAG_02538","0","1","0",1
"CNAG_02540","chr6","48961","50984","2023","null","hypothetical protein CNAG_02540","0","2","0",2
"CNAG_02542","chr6","41711","42957","1246","null","fructosamine kinase","1","0","0",1
"CNAG_02544","chr6","39014","39503","489","null","DNA repair protein Swi5/Sae3","0","1","0",1
"CNAG_02549","chr6","22142","24277","2135","null","hypothetical protein CNAG_02549","0","1","0",1
"CNAG_02554","chr6","11769","13915","2146","null","sugar transporter","1","0","1",2
"CNAG_02557","chr6","3409","5731","2322","null","fungal specific transcription factor","0","2","0",2
"CNAG_02561","chr3","1368380","1370391","2011","null","spermine transporter","0","1","0",1
"CNAG_02562","chr3","1363696","1365992","2296","null","acyl-CoA dehydrogenase","0","1","0",1
"CNAG_02566","chr3","1351585","1354444","2859","null","hepatocyte nuclear factor","2","0","0",2
"CNAG_02567","chr3","1349411","1350346","935","null","hypothetical protein CNAG_02567","0","1","0",1
"CNAG_02568","chr3","1344066","1349237","5171","null","UBA/TS-N domain-containing protein","3","0","1",4
"CNAG_02574","chr3","1329506","1333595","4089","null","cofactor D","4","1","0",5
"CNAG_02579","chr3","1313768","1318691","4923","null","hypothetical protein CNAG_02579","0","0","1",1
"CNAG_02586","chr3","1297973","1300246","2273","null","sugar transporter","1","0","0",1
"CNAG_02588","chr3","1290204","1293033","2829","null","avenacinase","1","0","0",1
"CNAG_02590","chr3","1283994","1286080","2086","null","3-hydroxyisobutyrate dehydrogenase","0","1","0",1
"CNAG_02593","chr3","1277117","1279712","2595","null","hypothetical protein CNAG_02593","1","2","0",3
"CNAG_02594","chr3","1272594","1274900","2306","null","hypothetical protein CNAG_02594","2","0","0",2
"CNAG_02595","chr3","1269576","1271694","2118","null","hypothetical protein CNAG_02595","0","1","0",1
"CNAG_02596","chr3","1268321","1268928","607","null","hypothetical protein CNAG_02596","1","0","0",1
"CNAG_02597","chr3","1265342","1267499","2157","null","hypothetical protein CNAG_02597","0","1","0",1
"CNAG_02598","chr3","1262794","1264647","1853","CHI21","chitinase","0","4","0",4
"CNAG_02600","chr3","1258840","1260846","2006","null","tartrate transporter","0","2","0",2
"CNAG_02603","chr3","1252670","1254831","2161","null","early growth response protein 1","0","0","1",1
"CNAG_02654","chr3","1111497","1118965","7468","null","DNA polymerase epsilon catalytic subunit A","1","0","1",2
"CNAG_02657","chr3","1106965","1108197","1232","null","translation initiation factor 3 subunit G","1","0","0",1
"CNAG_02658","chr3","1098942","1101345","2403","null","hypothetical protein CNAG_02658","1","0","1",2
"CNAG_02661","chr3","1091888","1093184","1296","null","hypothetical protein CNAG_02661","2","0","0",2
"CNAG_02663","chr3","1083642","1085388","1746","null","ribonucleoside-diphosphate reductase subunit M2","0","1","0",1
"CNAG_02667","chr3","1072493","1074865","2372","null","hypothetical protein CNAG_02667","1","0","0",1
"CNAG_02670","chr3","1067198","1069493","2295","null","bud emergence protein 1","2","2","1",5
"CNAG_02671","chr3","1063862","1066707","2845","null","pre-mRNA-splicing factor CEF1","0","1","0",1
"CNAG_02672","chr3","1061545","1063506","1961","null","nonsense-mediated mRNA decay protein 3","0","1","0",1
"CNAG_02675","chr3","1052864","1056306","3442","null","CAMK/CAMKL/GIN4 protein kinase","0","1","0",1
"CNAG_02678","chr3","1046719","1048071","1352","null","hypothetical protein CNAG_02678","0","1","0",1
"CNAG_02682","chr3","1031882","1035603","3721","null","hypothetical protein CNAG_02682","1","0","0",1
"CNAG_02686","chr3","1015753","1018781","3028","null","cystathionine beta-lyase","0","1","0",1
"CNAG_02687","chr3","1014238","1015390","1152","null","hypothetical protein CNAG_02687","1","1","0",2
"CNAG_02688","chr3","1012919","1013995","1076","null","hypothetical protein CNAG_02688","0","1","0",1
"CNAG_02691","chr3","1006194","1007512","1318","null","hypothetical protein CNAG_02691","0","1","0",1
"CNAG_02696","chr3","989903","994294","4391","null","exocyst protein","0","1","0",1
"CNAG_02698","chr3","982804","985910","3106","null","hypothetical protein CNAG_02698","1","0","0",1
"CNAG_02700","chr3","971147","976289","5142","null","hypothetical protein CNAG_02700","0","1","2",3
"CNAG_02701","chr3","968296","970302","2006","null","hypothetical protein CNAG_02701","0","0","1",1
"CNAG_02702","chr3","964531","968031","3500","CLC1","chloride channel protein","0","0","1",1
"CNAG_02705","chr3","953836","955693","1857","null","hypothetical protein CNAG_02705","0","1","0",1
"CNAG_02708","chr3","947499","949483","1984","null","prenylcysteine oxidase/farnesylcysteine lyase","0","1","0",1
"CNAG_02714","chr3","934045","935060","1015","null","elongation factor 1-beta","0","1","0",1
"CNAG_02719","chr3","919194","920123","929","null","hypothetical protein CNAG_02719","0","1","0",1
"CNAG_02720","chr3","913720","915992","2272","null","nuclear GTP-binding protein","0","0","1",1
"CNAG_02721","chr3","908292","913363","5071","null","leucine repeat containing protein","1","0","0",1
"CNAG_02724","chr3","900407","902986","2579","null","hypothetical protein CNAG_02724","0","2","0",2
"CNAG_02726","chr3","895869","897240","1371","null","cytoplasmic protein","0","1","0",1
"CNAG_02739","chr3","871611","872618","1007","null","hypothetical protein CNAG_02739","0","1","0",1
"CNAG_02742","chr3","863625","866936","3311","DCR1","hypothetical protein CNAG_02742","3","1","0",4
"CNAG_02745","chr3","856228","859574","3346","DCR2","hypothetical protein CNAG_02745","1","0","1",2
"CNAG_02752","chr3","842066","843445","1379","null","short-chain dehydrogenase","0","2","0",2
"CNAG_02753","chr3","840610","841657","1047","LIV13","endoplasmic reticulum protein","0","1","0",1
"CNAG_02754","chr3","839792","840350","558","null","small subunit ribosomal protein S12e","0","2","0",2
"CNAG_02774","chr3","795298","798346","3048","null","hypothetical protein CNAG_02774","0","1","0",1
"CNAG_02779","chr3","782657","783830","1173","BNA6","nicotinate-nucleotide diphosphorylase (carboxylating)","1","0","0",1
"CNAG_02782","chr3","776653","778280","1627","null","cytoplasmic protein","0","1","0",1
"CNAG_02783","chr3","775278","775961","683","null","hypothetical protein CNAG_02783","0","1","0",1
"CNAG_02784","chr3","772889","774819","1930","null","methyltransferase","1","0","0",1
"CNAG_02787","chr3","766380","767417","1037","null","dephospho-CoA kinase","0","0","2",2
"CNAG_02789","chr3","762163","764383","2220","null","nitrogen permease regulator 2","0","1","0",1
"CNAG_02790","chr3","760517","761891","1374","null","galactinol synthase","1","0","0",1
"CNAG_02794","chr3","752230","753995","1765","null","dihydroorotate dehydrogenase (fumarate)","0","1","1",2
"CNAG_02796","chr3","748810","751177","2367","null","3-deoxy-7-phosphoheptulonate synthase","0","0","1",1
"CNAG_02798","chr3","745033","746303","1270","null","hypothetical protein CNAG_02798","0","1","0",1
"CNAG_02800","chr3","740099","742134","2035","null","hypothetical protein CNAG_02800","1","0","0",1
"CNAG_02801","chr3","737916","738395","479","TRX1","thioredoxin","0","2","0",2
"CNAG_02805","chr3","730909","732084","1175","CAN1","carbonic anhydrase","1","0","0",1
"CNAG_02809","chr3","722162","724328","2166","null","tRNA-specific adenosine deaminase 3","0","2","0",2
"CNAG_02810","chr3","718237","721401","3164","PUF4","pumilio-family RNA binding protein","0","1","0",1
"CNAG_02813","chr3","713735","714091","356","null","large subunit ribosomal protein L30","0","2","0",2
"CNAG_02814","chr3","710187","713045","2858","null","glycerol-3-phosphate dehydrogenase","0","0","1",1
"CNAG_02816","chr3","703591","706829","3238","null","nuclear pore complex protein Nup93","1","0","0",1
"CNAG_02820","chr3","694530","697611","3081","null","serine/threonine protein kinase","0","0","1",1
"CNAG_02821","chr3","693145","694240","1095","null","hypothetical protein CNAG_02821","1","0","0",1
"CNAG_02822","chr3","690055","692624","2569","null","hypothetical protein CNAG_02822","0","1","0",1
"CNAG_02823","chr3","682979","687313","4334","null","bloom syndrome protein","0","0","1",1
"CNAG_02824","chr3","680662","682542","1880","null","hypothetical protein CNAG_02824","1","1","0",2
"CNAG_02828","chr3","670025","673916","3891","null","hypothetical protein CNAG_02828","0","0","1",1
"CNAG_02829","chr3","666913","669761","2848","null","protein arginine N-methyltransferase 5","1","0","1",2
"CNAG_02833","chr3","661078","661587","509","null","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7","0","1","1",2
"CNAG_02834","chr3","654633","660773","6140","null","sterol 3-beta-glucosyltransferase","2","0","0",2
"CNAG_02846","chr3","627835","628825","990","null","endoplasmic reticulum protein","0","1","0",1
"CNAG_02849","chr3","620274","621973","1699","null","glutathione transferase","0","1","0",1
"CNAG_02850","chr3","616119","618961","2842","null","glucan endo-1,3-alpha-glucosidase agn1","0","0","1",1
"CNAG_02853","chr3","609351","611437","2086","null","amidophosphoribosyltransferase","0","1","0",1
"CNAG_02856","chr3","599657","603445","3788","null","potassium ion transporter","0","1","0",1
"CNAG_02857","chr3","595927","598628","2701","null","hypothetical protein CNAG_02857","0","0","1",1
"CNAG_02858","chr3","593524","595077","1553","ADE12","adenylosuccinate synthetase","0","1","0",1
"CNAG_02860","chr3","587686","589359","1673","EBG1","endo-1,3(4)-beta-glucanase","0","1","0",1
"CNAG_02861","chr3","585936","587108","1172","null","histidinol-phosphatase (PHP family)","0","1","0",1
"CNAG_02862","chr3","584703","585766","1063","null","aprataxin","0","0","1",1
"CNAG_02866","chr3","575711","577623","1912","null","pantothenate kinase","0","1","0",1
"CNAG_02867","chr3","571915","574220","2305","PLC1","phosphatidylinositol phospholipase C, delta","0","1","1",2
"CNAG_02868","chr3","569838","571647","1809","null","tryptophan 2,3-dioxygenase","1","1","0",2
"CNAG_02869","chr3","568106","569325","1219","null","hypothetical protein CNAG_02869","1","0","0",1
"CNAG_02870","chr3","565694","567528","1834","MET7","folylpolyglutamate synthase","0","0","2",2
"CNAG_02871","chr3","563939","565364","1425","null","GPI mannosyltransferase 2","1","1","0",2
"CNAG_02874","chr3","558511","560817","2306","null","hypothetical protein CNAG_02874","1","0","0",1
"CNAG_02876","chr3","554303","556055","1752","null","ornithine decarboxylase","1","0","0",1
"CNAG_02877","chr3","547943","550950","3007","null","hypothetical protein CNAG_02877","0","1","0",1
"CNAG_02878","chr3","546042","547552","1510","null","hypothetical protein CNAG_02878","1","0","0",1
"CNAG_02882","chr3","538335","540967","2632","null","hypothetical protein CNAG_02882","0","0","1",1
"CNAG_02885","chr3","530663","532716","2053","CAP64","capsular associated protein","0","1","0",1
"CNAG_02886","chr3","529599","530477","878","null","20S proteasome subunit beta 4","0","1","0",1
"CNAG_02895","chr3","509518","512528","3010","null","dynamin GTPase","0","1","0",1
"CNAG_02897","chr3","502414","506263","3849","null","inositol hexaphosphate kinase 1","1","0","0",1
"CNAG_02900","chr3","496093","497574","1481","null","hypothetical protein CNAG_02900","1","0","0",1
"CNAG_02902","chr3","491291","493345","2054","null","hypothetical protein CNAG_02902","0","1","0",1
"CNAG_02912","chr3","464580","470233","5653","null","hypothetical protein CNAG_02912","1","0","1",2
"CNAG_02914","chr3","461120","461690","570","null","hypothetical protein CNAG_02914","0","1","0",1
"CNAG_02918","chr3","451551","453152","1601","ERG10","acetyl-CoA C-acetyltransferase","0","3","0",3
"CNAG_02928","chr3","429945","431085","1140","null","large subunit ribosomal protein L5e","0","1","0",1
"CNAG_02930","chr3","418733","424166","5433","LIV10","hypothetical protein CNAG_02930","0","1","0",1
"CNAG_02935","chr3","408450","409860","1410","null","malonic semialdehyde reductase","1","0","0",1
"CNAG_02952","chr3","359857","360316","459","null","hypothetical protein CNAG_02952","0","1","0",1
"CNAG_02953","chr3","354734","359365","4631","null","tuberin","0","1","0",1
"CNAG_02958","chr3","340928","343460","2532","CFO2","ferroxidase","0","0","1",1
"CNAG_02966","chr3","321349","323321","1972","null","carboxypeptidase","0","0","1",1
"CNAG_02973","chr3","304991","307000","2009","null","tRNA-splicing endonuclease subunit Sen2","1","0","1",2
"CNAG_02976","chr3","299807","300857","1050","null","riboflavin kinase","0","0","1",1
"CNAG_02977","chr3","293809","299197","5388","null","metal resistance protein ycf1","0","2","1",3
"CNAG_02979","chr3","291696","292554","858","null","hypothetical protein CNAG_02979","0","2","0",2
"CNAG_02980","chr3","289651","291374","1723","null","membrane dipeptidase","0","4","0",4
"CNAG_02981","chr3","284939","289349","4410","null","paired amphipathic helix protein Sin3a","0","0","2",2
"CNAG_02982","chr3","281012","284130","3118","null","U3 small nucleolar RNA-associated protein 13","0","1","0",1
"CNAG_02986","chr3","272800","273842","1042","YSA1","ADP-ribose pyrophosphatase","0","1","0",1
"CNAG_02987","chr3","271663","272151","488","null","hypothetical protein CNAG_02987","0","1","1",2
"CNAG_02992","chr3","259219","262340","3121","null","actin cross-linking protein","1","0","0",1
"CNAG_02994","chr3","254194","256955","2761","null","hypothetical protein CNAG_02994","0","1","1",2
"CNAG_02996","chr3","250219","251873","1654","null","flavoprotein oxygenase","1","0","1",2
"CNAG_02998","chr3","242767","245370","2603","null","nuclear protein","1","0","0",1
"CNAG_03000","chr3","237769","238595","826","null","small subunit ribosomal protein S19e","0","0","1",1
"CNAG_03005","chr3","228528","230400","1872","null","cytoplasmic tRNA 2-thiolation protein 2","1","0","0",1
"CNAG_03006","chr3","226673","228241","1568","null","hypothetical protein CNAG_03006","1","0","0",1
"CNAG_03010","chr3","220906","221961","1055","null","enoyl-CoA hydratase/isomerase","1","0","0",1
"CNAG_03012","chr3","214987","215316","329","CQS1","hypothetical protein CNAG_03012","0","3","0",3
"CNAG_03013","chr3","210067","213646","3579","null","OPT family small oligopeptide transporter","0","2","1",3
"CNAG_03015","chr3","203560","204231","671","null","large subunit ribosomal protein L37-A","0","1","0",1
"CNAG_03016","chr3","201565","202822","1257","null","chaperone regulator","1","1","0",2
"CNAG_03018","chr3","194871","197973","3102","null","nuclear protein","1","0","1",2
"CNAG_03019","chr3","190971","194264","3293","null","long-chain acyl-CoA synthetase","0","1","0",1
"CNAG_03021","chr3","186079","187177","1098","null","hypothetical protein CNAG_03021","1","0","0",1
"CNAG_03023","chr3","179367","183887","4520","null","hypothetical protein CNAG_03023","1","0","0",1
"CNAG_03024","chr3","169916","179043","9127","null","AGC protein kinase","0","1","1",2
"CNAG_03027","chr3","163293","165866","2573","null","hypothetical protein CNAG_03027","0","1","0",1
"CNAG_03033","chr3","154789","156462","1673","null","hypothetical protein CNAG_03033","0","1","0",1
"CNAG_03036","chr3","145411","148931","3520","null","potassium ion transporter","2","4","0",6
"CNAG_03037","chr3","143154","145181","2027","null","hypothetical protein CNAG_03037","1","0","2",3
"CNAG_03038","chr3","141568","142728","1160","null","hypothetical protein CNAG_03038","0","5","0",5
"CNAG_03039","chr3","139453","141286","1833","null","DNA damage-inducible protein 1","0","0","1",1
"CNAG_03040","chr3","136251","138980","2729","null","transketolase","1","1","1",3
"CNAG_03051","chr3","114225","116505","2280","null","polyamine transporter","1","2","0",3
"CNAG_03052","chr3","110998","113374","2376","null","PP2Cc protein phosphatase","0","0","1",1
"CNAG_03056","chr3","103262","103756","494","null","hypothetical protein CNAG_03056","0","1","0",1
